time_id,year,month,month_name,artist_mbid,artist,region,sumofstreams,tracks_in_top200,peak_position
202002,2020,2,February ,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,UK,27493476,27,1
202002,2020,2,February ,526aab94-697f-44a9-b630-41d1c0505953,Lewis Capaldi,UK,20127852,15,5
202002,2020,2,February ,e0140a67-e4d1-4f13-8a01-364355bee46e,Justin Bieber,UK,18102428,19,6
202002,2020,2,February ,67fd5116-7a49-4abf-a34f-b08774128a7a,Stormzy,UK,16295601,21,7
202002,2020,2,February ,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,The Weeknd,UK,14562596,9,1
202002,2020,2,February ,5721c227-4caf-48b1-bbfc-1a4ed3276963,Roddy Ricch,UK,12410829,6,1
202002,2020,2,February ,7eb1ce54-a355-41f9-8d68-e018b096d427,Harry Styles,UK,11966489,12,11
202002,2020,2,February ,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,UK,11283193,6,3
202002,2020,2,February ,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,UK,10097614,16,34
202002,2020,2,February ,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,UK,9625717,10,5
202002,2020,2,February ,f93bac9e-b20a-403e-abc9-06a2fc151df1,Dave,UK,9495065,16,27
202002,2020,2,February ,eca85dd0-f1fb-4e83-8c47-61403f479254,J Hus,UK,9121480,13,22
202002,2020,2,February ,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,Post Malone,UK,8961580,15,27
202002,2020,2,February ,663f33f4-8e5f-4773-93ea-493a1135de9a,Tones And I,UK,8246619,6,4
202002,2020,2,February ,0f16ba6c-1874-42b9-b7a6-e060c2be454e,SAINt JHN,UK,6190526,3,4
202002,2020,2,February ,48262e82-db9f-4a92-b650-dfef979b73ec,Future,UK,6154400,3,6
202002,2020,2,February ,7b545a9d-0be7-4a32-90ff-154489117216,Joel Corry,UK,5798175,6,16
202002,2020,2,February ,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Selena Gomez,UK,5762856,7,23
202002,2020,2,February ,aa4296e3-f61c-46b5-b4fa-abce5bb62ffb,Arizona Zervas,UK,5625406,3,10
202002,2020,2,February ,016b6741-a443-492c-ae7f-fb0378d3270e,MEDUZA,UK,5396933,7,20
202002,2020,2,February ,6e3dad50-bc58-4050-9b54-94670e3c0bd3,Young T & Bugsey,UK,5340603,7,33
202002,2020,2,February ,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,Juice WRLD,UK,5054932,9,41
202002,2020,2,February ,5df62a88-cac9-490a-b62c-c7c88f4020f4,Doja Cat,UK,4783771,5,19
202002,2020,2,February ,3377f3bb-60fc-4403-aea9-7e800612e060,Halsey,UK,4590344,3,16
202002,2020,2,February ,6e019bc6-5c23-4935-94f0-4a896631d846,Jonas Brothers,UK,4557147,6,29
202002,2020,2,February ,1f90e7b7-1d92-4f02-bcb1-0b0dbdfeb383,DigDat,UK,4528443,6,28
202002,2020,2,February ,6eb5cc6b-8553-4049-abf5-1ace1b6d9e59,Trevor Daniel,UK,4528112,3,14
202002,2020,2,February ,01b8b5bf-06cb-45da-85fb-61ada72fcd69,Camila Cabello,UK,4396052,3,18
202002,2020,2,February ,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,Tame Impala,UK,4174009,9,73
202002,2020,2,February ,a2507d4d-3387-4d31-a6e8-f2c9794fb37e,Jax Jones,UK,4162352,4,21
202002,2020,2,February ,e8ff034d-a40c-4a84-bc49-dba7aaece2fd,KSI,UK,4089628,6,27
202002,2020,2,February ,57dd4661-9f78-4442-8836-482fab983008,Aitch,UK,3868771,7,53
202002,2020,2,February ,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,Sam Smith,UK,3776172,6,29
202002,2020,2,February ,aa9ea04c-6d55-4244-9139-22c75bd19f97,Dermot Kennedy,UK,3436906,6,59
202002,2020,2,February ,8fb5370b-9568-4b61-9da5-2aa12c9928db,Lizzo,UK,3326074,7,90
202002,2020,2,February ,b8638bdc-728d-4d43-a908-7be7db29073b,AJ Tracey,UK,3107577,4,36
202002,2020,2,February ,27bc6f5b-4585-49ab-8d7d-c62b59f5f010,Becky Hill,UK,3043346,3,26
202002,2020,2,February ,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,Anne-Marie,UK,2982075,6,67
202002,2020,2,February ,28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,UK,2941004,4,44
202002,2020,2,February ,ecebea6a-c064-4409-9699-b0bf6b5df720,NSG,UK,2785175,6,87
202002,2020,2,February ,0d79fe8e-ba27-4859-bb8c-2f255f346853,BTS,UK,2743880,6,83
202002,2020,2,February ,25e8ba80-7018-4893-b4db-c2ae475cab7e,Tobi & Manny,UK,2739768,3,24
202002,2020,2,February ,e07d9474-00ea-4460-ac27-88b46b3d976e,blackbear,UK,2702864,4,48
202002,2020,2,February ,0612bcce-e351-40be-b3d7-2bb5e1c23479,Mustard,UK,2667022,3,39
202002,2020,2,February ,2e2c71a6-1ac8-4442-ba00-c4dea71abd64,Headie One,UK,2624748,6,81
202002,2020,2,February ,0ab49580-c84f-44d4-875f-d83760ea2cfe,Maroon 5,UK,2555153,3,44
202002,2020,2,February ,253c9ae7-850b-46be-8fbb-65e9fa621058,Pop Smoke,UK,2507365,5,52
202002,2020,2,February ,59d6cea7-3771-4ce6-8c02-395ac5ba927a,YNW Melly,UK,2470453,3,38
202002,2020,2,February ,61af87f4-16ee-4431-8504-cc06187079fb,XXXTENTACION,UK,2431899,6,145
202002,2020,2,February ,3f23ce60-38bf-48b1-9f76-9a6582d0784b,Endor,UK,2386536,3,42
202002,2020,2,February ,c3b7ef53-5082-4606-ab6f-f500fa2c7b1c,M Huncho,UK,2375008,4,57
202002,2020,2,February ,e811505e-e3f1-4290-98ca-2d5d054b646b,M24,UK,2369109,3,35
202002,2020,2,February ,3325cdfa-8efc-4662-b3df-c094b78b9da8,D-Block Europe,UK,2350795,6,155
202002,2020,2,February ,9557170d-a5e0-4457-81bb-95b5c6e073b0,Darkoo,UK,2328653,3,45
202002,2020,2,February ,b32ef74f-9707-4fb2-a45d-142d7201ea9e,Regard,UK,2212035,3,50
202002,2020,2,February ,330e00e4-7991-4b47-b2be-3881aa5afed6,Lil Mosey,UK,2207574,3,40
202002,2020,2,February ,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,Travis Scott,UK,2195596,4,70
202002,2020,2,February ,3ac96b4c-4f42-48c8-b793-84dbf54d7ac6,BROCKHAMPTON,UK,2183737,3,53
202002,2020,2,February ,b7d92248-97e3-4450-8057-6fe06738f735,Shawn Mendes,UK,2057107,3,61
202002,2020,2,February ,39ab1aed-75e0-4140-bd47-540276886b60,Oasis,UK,2041259,5,132
202002,2020,2,February ,95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,UK,1965670,3,65
202002,2020,2,February ,84354abd-2ead-48a3-9690-6627d917b605,Tom Walker,UK,1958437,4,73
202002,2020,2,February ,ba0e7638-0cd6-4ff4-8987-c3e224d22c23,Kygo,UK,1849594,3,72
202002,2020,2,February ,c5d8019c-fe79-4968-9329-f7af6cdc26f3,Ali Gatie,UK,1823876,3,74
202002,2020,2,February ,e337c918-098f-418e-97a2-81dc224b1bf9,Dominic Fike,UK,1821935,3,69
202002,2020,2,February ,4545675e-4006-4271-8e82-703cae7e1748,MK,UK,1797749,3,63
202002,2020,2,February ,55e6074f-ef78-4ec3-8fff-bd1b8cc8c14a,Niall Horan,UK,1795466,4,116
202002,2020,2,February ,87ae83df-6173-40cc-a0f2-bad543faa6aa,DaBaby,UK,1773605,3,71
202002,2020,2,February ,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,The 1975,UK,1768009,4,89
202002,2020,2,February ,a0723a3c-4135-438e-85c5-012712144ede,Don Toliver,UK,1762472,3,66
202002,2020,2,February ,ae515b61-757e-49c2-b78b-b6534b255c83,Surfaces,UK,1758608,3,56
202002,2020,2,February ,5d27a55a-5731-4ef5-a3ad-d5b44251db0f,JP Saxe,UK,1715304,3,82
202002,2020,2,February ,60a5ea44-537e-4f60-867c-d7789b6d4255,Nathan Dawe,UK,1692344,3,80
202002,2020,2,February ,3a592f93-5c88-4b7c-a10f-8eb3dcbadde7,Mabel,UK,1680403,3,81
202002,2020,2,February ,e6fdf3f9-8077-4126-b0cf-94da9a8b627e,Lil Tecca,UK,1677997,3,85
202002,2020,2,February ,de67fa7b-9910-4a52-aaea-ccf5064d3faf,Fredo,UK,1651201,3,77
202002,2020,2,February ,650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,UK,1626835,3,96
202002,2020,2,February ,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,UK,1623052,4,136
202002,2020,2,February ,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,UK,1591538,4,146
202002,2020,2,February ,2c5e2a98-d9ea-46b5-9618-d9bb4863a920,George Ezra,UK,1560794,3,99
202002,2020,2,February ,1fda852b-92e9-4562-82fa-c52820a77b23,The Pussycat Dolls,UK,1519627,3,75
202002,2020,2,February ,49c7b63f-fb89-4ef6-af44-de3cdb8332c1,Lil Pino,UK,1506987,3,80
202002,2020,2,February ,bfb7bc12-4b79-412f-8303-ad6d7c772aca,Powfu,UK,1505527,2,44
202002,2020,2,February ,5df148ae-78eb-495a-8a0b-d16f3105992d,Noah Cyrus,UK,1469774,3,99
202002,2020,2,February ,5a7eccc1-3186-4ac9-9986-878002312d1f,MIST,UK,1451265,3,108
202002,2020,2,February ,c1708d03-8a66-46eb-848e-fe0d233ffb39,A Boogie Wit da Hoodie,UK,1446854,3,83
202002,2020,2,February ,0fe5df51-ba65-4784-ba85-7d024a107a8a,24kGoldn,UK,1411785,2,46
